"","Recipe","Temp","OL","Time","Ammonia","pH","sCOD","TS","VS","Coliforms","Ecoli","Enterococci","Methane","RFW","DCS","FOG"
"112","FWS13",55,2,3,1690,7.2,11546.51,6.01,3.74,0,0,3.4900990050633,5.7,"0.75","0.25","0"
"113","FWS13",19,2,9,1510,7.16,10563.51,5.68,3.52,5.5352953862056,4.49555821254787,5.86153500823756,30.2,"0.75","0.25","0"
"114","FWS13",37,3.5,9,1625,7.37,8247.57,5.33,3.45,4.41331653188427,4.33447385691154,6.04917963244335,158.6,"0.75","0.25","0"
"115","FWS13",55,0.5,6,1470,7.72,9404.17,5.57,3.31,0,0,2.00432137378264,5,"0.75","0.25","0"
"116","FWS13",55,2,9,1455,7.44,12406.81,5.48,3.36,0,0,2.00432137378264,14.8,"0.75","0.25","0"
"117","FWS13",55,2,3,1510,7.2,11501.64,6.04,3.76,0,0,3.54419211076503,8,"0.75","0.25","0"
"118","FWS13",55,3.5,6,1575,7.23,13979.71,6.02,3.73,2.00432137378264,0,2.69983772586725,26.5,"0.75","0.25","0"
"119","FWS13",19,3.5,6,1300,6.91,13155.64,6,3.82,6.37379460036425,6.29804506124588,6.77158755436593,21.3,"0.75","0.25","0"
"120","FWS13",19,2,0,1978.444444,7.97,15071.64964,6.160857271,3.911447261,6.27333280495038,6.0135323357861,5.26601337049627,0,"0.75","0.25","0"
"121","FWS13",37,0.5,9,1690,7.44,7467.72,5.24,3.2,0,0,5.00732522325064,73.6,"0.75","0.25","0"
"122","FWS13",55,0.5,0,1994.611111,7.97,12311.34577,5.723264793,3.379870917,5.67148175992147,5.41147360728452,5.08592373534324,0,"0.75","0.25","0"
"123","FWS13",37,3.5,3,1675,7.08,8525.28,5.92,3.87,5.19120221599978,5.19120221599978,5.38374537073358,67.8,"0.75","0.25","0"
"124","FWS13",37,0.5,9,1370,7.5,8271.21,5.13,3.25,3.93706631201743,3.93706631201743,4.96988629853915,69.1,"0.75","0.25","0"
"125","FWS13",37,2,6,1535,7.43,7763.19,5.46,3.37,4.95713299118769,4.95713299118769,5.85248060360059,91.2,"0.75","0.25","0"
"126","FWS13",55,0.5,6,2305,7.76,9861.83,5.56,3.27,0,0,2.30319605742049,4,"0.75","0.25","0"
"127","FWS13",37,0.5,0,1994.611111,7.97,12311.34577,5.723264793,3.379870917,5.67148175992147,5.41147360728452,5.08592373534324,0,"0.75","0.25","0"
"128","FWS13",37,2,6,1425,7.47,8555.25,5.51,3.34,4.98227575691686,4.86154038460725,6.8367671106379,35.3,"0.75","0.25","0"
"129","FWS13",19,3.5,6,1375,6.9,12992.4,5.95,3.82,6.29804506124588,5.96416578227057,7.06182934496117,23.8,"0.75","0.25","0"
"130","FWS13",37,3.5,3,1785,7.01,9826.5,6.01,3.93,5.26480838172252,5.26480838172252,5.29804702904507,64,"0.75","0.25","0"
"131","FWS13",37,2,6,1405,7.51,8021.01,5.55,3.47,4.1271372071915,3.92947001617749,6.11384345308715,92.7,"0.75","0.25","0"
"132","FWS13",37,2,6,1385,7.46,8748.17,5.54,3.4,2.61384182187607,2.30319605742049,6.59439266088291,71.5,"0.75","0.25","0"
"133","FWS13",37,3.5,3,1700,7.06,7493.27,5.9,4.56,6.91169021197622,6.68841991099747,4.98254710335459,69.5,"0.75","0.25","0"
"134","FWS13",37,2,6,1550,7.43,8614.61,5.57,3.42,4.55510654574916,4.46539772429244,6.73838420283534,92.5,"0.75","0.25","0"
"135","FWS13",19,0.5,6,1340,7.49,9241.77,5.56,3.33,4.40825692960872,4.19868457307714,5.61342000274025,11.7,"0.75","0.25","0"
